21.950,0.384,-4.875,-5.390
22.000,-0.000,-4.900,-5.400
22.050,-0.385,-4.895,-5.410
22.100,-0.770,-4.859,-5.420
22.150,-1.151,-4.794,-5.430
22.200,-1.527,-4.698,-5.440
22.250,-1.894,-4.573,-5.450
22.300,-2.252,-4.419,-5.460
22.350,-2.597,-4.238,-5.470
22.400,-2.927,-4.029,-5.480
22.450,-3.241,-3.794,-5.490
22.500,-3.536,-3.536,-5.500
22.550,-3.810,-3.254,-5.510
22.600,-4.061,-2.951,-5.520
22.650,-4.289,-2.628,-5.530
22.700,-4.491,-2.288,-5.540
22.750,-4.666,-1.933,-5.550
22.800,-4.812,-1.564,-5.560
22.850,-4.930,-1.184,-5.570
22.900,-5.017,-0.795,-5.580
22.950,-5.074,-0.399,-5.590
23.000,-5.100,0.000,-5.600
23.050,-5.094,0.401,-5.610
23.100,-5.057,0.801,-5.620
23.150,-4.988,1.198,-5.630
23.200,-4.888,1.588,-5.640
23.250,-4.758,1.971,-5.650
23.300,-4.598,2.343,-5.660
23.350,-4.408,2.701,-5.670
23.400,-4.191,3.045,-5.680
23.450,-3.947,3.371,-5.690
